address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 10:56:00.981,-1.0635,0.6836,0.8770,4.6387,4.8828,-6.1646,68.3624,-16.6772,179.9945,46.94 
0x50, 10:56:01.001,-1.0703,0.6787,0.8584,5.1270,3.4790,-5.5542,68.4119,-16.6113,179.9945,46.94 
0x50, 10:56:01.004,-1.0757,0.6670,0.8521,5.5542,1.7090,-1.9531,68.4613,-16.5894,179.9945,46.94 
0x50, 10:56:01.007,-1.0757,0.6519,0.8467,6.2256,0.0000,2.1362,68.5217,-16.6058,179.9945,46.95 
0x50, 10:56:01.027,-1.0669,0.6328,0.8423,6.9580,-1.5869,3.7842,68.5931,-16.6498,179.9945,46.95 
0x50, 10:56:01.029,-1.0552,0.6191,0.8467,7.3853,-2.6855,2.4414,68.6700,-16.6827,179.9945,46.96 
0x50, 10:56:01.036,-1.0498,0.6143,0.8516,7.8125,-3.5400,0.0000,68.7579,-16.6937,179.9945,46.95 
0x50, 10:56:01.052,-1.0527,0.6270,0.8521,7.9956,-3.9673,-1.5869,68.8513,-16.6937,179.9945,46.95 
0x50, 10:56:01.107,-1.0527,0.6323,0.8579,7.4463,-4.3335,-1.6479,68.9392,-16.6937,179.9945,46.95 
0x50, 10:56:01.107,-1.0557,0.6479,0.8584,6.4697,-4.5776,0.0000,69.0161,-16.7102,179.9945,46.95 
0x50, 10:56:01.107,-1.0562,0.6587,0.8516,5.1880,-4.6387,2.5635,69.0820,-16.7542,179.9945,46.95 
0x50, 10:56:01.107,-1.0576,0.6646,0.8467,3.3569,-4.3945,4.9438,69.1205,-16.8146,179.9945,46.96 
0x50, 10:56:01.107,-1.0527,0.6704,0.8447,1.2207,-3.8452,7.2021,69.1370,-16.8970,179.9945,46.96 
0x50, 10:56:01.109,-1.0483,0.6763,0.8564,-0.9766,-2.9297,9.4604,69.1260,-16.9958,179.9945,46.95 
0x50, 10:56:01.129,-1.0376,0.6753,0.8633,-3.1738,-1.4648,10.9863,69.0875,-17.1002,179.9945,46.96 
0x50, 10:56:01.129,-1.0200,0.6572,0.8672,-5.1880,0.3052,11.2305,69.0216,-17.2046,179.9945,46.96 
0x50, 10:56:01.154,-1.0054,0.6362,0.8652,-6.8359,2.4414,10.0708,68.9337,-17.2925,179.9945,46.96 
0x50, 10:56:01.168,-0.9961,0.6191,0.8667,-7.8125,4.8828,7.8735,68.8348,-17.3474,179.9945,46.97 
0x50, 10:56:01.168,-0.9917,0.6113,0.8623,-7.9956,7.0801,5.1880,68.7250,-17.3694,179.9945,46.95 
0x50, 10:56:01.176,-1.0015,0.6089,0.8569,-7.4463,9.1553,2.6855,68.6206,-17.3584,179.9945,46.95 
0x50, 10:56:01.179,-1.0098,0.6050,0.8477,-6.4087,10.5591,0.7324,68.5272,-17.3309,179.9945,46.95 
0x50, 10:56:01.201,-1.0352,0.6050,0.8433,-4.9438,11.4746,0.0000,68.4448,-17.2870,179.9945,46.95 
