,Swing Type,MinWX,MaxWX,MinWY,MaxWY,MinWZ,MaxWZ,MinAX,MaxAX,MinAY,MaxAY,MinAZ,MaxAZ
85,1,-347.3511,951.9653,-1436.8286,602.2339,-196.2891,676.4526,-5.1279,-0.8047,-5.2529,0.9106,-3.9648,6.9854
86,1,-300.5981,863.2202,-1302.9175,567.9321,-192.1997,471.4966,-4.6943,-0.2544,-3.1802,0.9009,-2.3711,5.6772
87,1,-362.3047,718.5669,-1209.2896,582.6416,-284.9731,380.6763,-4.396,-0.604,-3.8218,0.9507,-2.3906,4.9995
88,1,-340.332,821.8384,-1141.9067,604.3701,-157.3486,395.0806,-3.792,-0.2769,-3.396,1.0498,-1.7876,5.583
89,1,-343.0176,968.3838,-1205.1392,615.6616,-239.563,367.1265,-4.5791,0.4497,-4.4292,1.0239,-2.6138,6.6411
90,1,-294.1284,865.4785,-1125.2441,542.4194,-178.4668,353.4546,-4.0112,-0.3604,-4.0693,0.978,-2.3413,5.6455
91,1,-380.5542,919.0674,-1130.3711,579.3457,-241.2109,376.1597,-3.9521,-0.0522,-4.4229,1.0845,-2.1304,6.8101
92,1,-326.1719,864.624,-1234.0088,645.6299,-214.5386,486.8774,-4.248,-0.355,-3.4624,1.1128,-2.4346,5.7568
93,1,-340.8813,896.4844,-1118.2251,651.8555,-111.3892,470.7031,-3.9365,-0.751,-4.9453,0.8823,-1.9419,6.3101
94,1,-335.6323,850.708,-1157.3486,656.9214,-183.5938,352.356,-3.6968,-0.27,-3.7295,0.8252,-2.0347,5.7363
95,1,-536.499,875.6714,-1427.5513,597.9004,-305.4199,766.0522,-5.0591,0.3667,-3.7383,0.8916,-2.6948,5.8413
96,1,-398.1934,858.7646,-1332.7026,572.5098,-264.2822,603.8818,-5.2993,-0.9502,-4.4775,0.9644,-2.875,6.0952
97,1,-345.52,776.062,-1347.4731,633.3008,-172.3022,588.8062,-5.062,-0.4282,-3.8945,0.9468,-2.8501,5.5166
98,1,-327.9419,687.5,-1281.7383,503.9063,-200.3784,416.626,-4.8276,-0.5449,-3.1421,1.0156,-2.8672,4.8589
99,1,-386.7188,865.6616,-1415.1611,588.1348,-225.0366,588.1348,-5.3306,-0.2549,-4.5215,0.8525,-3.5464,6.2178
100,1,-743.2861,913.7573,-1505.249,596.4355,-288.9404,1008.2397,-5.229,1.3926,-3.9331,1.1431,-2.168,5.9434
101,1,-411.8042,791.5649,-1480.2246,537.4756,-255.6152,735.9619,-5.8584,-0.3823,-4.2388,0.8281,-3.6465,5.2695
102,1,-452.6367,907.8979,-1430.481,563.1104,-212.8296,618.4692,-6.978,-0.5654,-5.0752,0.9932,-3.875,6.0557
103,1,-421.4478,802.3682,-1411.9873,575.4395,-172.0581,561.7065,-5.147,-0.9302,-4.1938,0.8823,-4.2896,5.7402
104,2,-1570.4956,1261.0474,-1989.9902,1998.1079,-293.335,1954.834,-12.5723,4.3613,-9.8799,0.7056,-12.772,8.9121
105,2,-1708.9844,1249.3896,-1932.373,1998.1079,-1998.7183,1579.5288,-13.0405,4.9883,-12.0166,0.7275,-14.3638,9.1362
106,2,-1529.9072,1264.0991,-1938.4766,1998.1079,-1998.7183,1778.0151,-13.1211,5.0288,-11.0,0.938,-13.2051,8.8916
107,2,-1559.6313,1254.6997,-1764.3433,1998.1079,-1998.7183,1814.4531,-12.1616,4.6646,-10.5962,1.104,-13.7666,7.7686
108,2,-1712.7075,1306.3965,-1897.0337,1998.1079,-1998.7183,1894.8364,-15.4341,15.8564,-13.3828,0.8784,-14.877,9.4033
109,2,-1698.7915,1358.2153,-1940.1855,1998.1079,-1998.7183,1959.6558,-15.4858,5.374,-12.8281,0.9941,-14.6821,9.874
110,2,-1655.3955,1268.7988,-1993.103,1998.1079,-1998.7183,1577.0874,-12.647,4.8613,-11.1865,0.8511,-14.3574,8.7861
111,2,-1636.3525,1316.3452,-1866.0278,1998.1079,-1998.7183,1987.6709,-12.0742,4.6235,-10.0693,0.7451,-13.4585,7.9829
112,2,-1679.3213,1182.0679,-1982.9712,1998.1079,-1998.7183,1951.5991,-13.2793,4.9834,-10.4199,0.7886,-13.0356,7.8584
113,2,-1623.4131,1402.1606,-1828.3691,1998.1079,-1998.7183,1776.6113,-14.0439,4.96,-11.6177,0.9224,-13.5386,10.1694
114,2,-1398.8647,1297.2412,-1926.2695,1998.1079,-1998.7183,1808.0444,-13.189,5.8428,-11.8047,0.9604,-13.8267,9.6377
115,2,-1786.499,1462.2803,-1842.7734,1998.1079,-1998.7183,1812.3169,-15.812,15.4321,-14.1006,1.0386,-14.9468,10.1938
116,2,-1506.7139,1239.3799,-1834.8389,1998.1079,-288.8794,1970.8252,-12.7593,5.3384,-9.9458,0.9321,-14.0942,9.0454
117,2,-1533.9966,1322.0825,-1792.4805,1998.1079,-1998.7183,1950.0732,-11.7896,5.4038,-9.9102,0.876,-13.0991,8.3101
118,2,-1503.479,1239.0747,-1878.9673,1998.1079,-261.2305,1837.8296,-11.5811,4.4668,-9.9834,0.9697,-11.23,8.6406
119,2,-1652.771,1238.4644,-1965.0269,1998.1079,-1998.7183,1434.5703,-13.6465,4.4575,-10.5537,0.8345,-14.1875,8.6846
120,2,-1605.6519,1221.8018,-1877.0142,1998.1079,-1998.7183,1845.9473,-13.1411,5.4575,-9.8652,0.812,-13.7075,8.0547
121,2,-1647.0947,1278.1372,-1846.3135,1998.1079,-1998.7183,1596.1304,-12.8564,6.0137,-11.0732,0.8906,-14.3555,8.79
122,2,-1642.0288,1309.5703,-1994.2017,1998.1079,-1998.7183,1491.272,-13.4106,5.4849,-11.23,0.7783,-14.4307,9.2441
123,2,-1781.25,1341.8579,-1916.2598,1998.1079,-1998.7183,1602.9053,-14.2974,5.6904,-12.5181,0.8638,-14.3149,8.939
124,2,-1294.5557,1140.625,-1896.7896,1998.1079,-300.7813,1730.6519,-11.2129,4.6099,-8.1221,0.9629,-10.9839,7.1001
125,2,-1674.1943,1264.1602,-1914.917,1998.1079,-266.4795,1993.9575,-13.187,4.1323,-10.2168,0.7832,-13.146,8.0918
126,2,-1473.3276,1390.4419,-1893.7988,1998.1079,-1998.7183,1832.9468,-11.916,4.7246,-9.6909,0.8481,-12.4287,8.4712
127,2,-1752.9297,1301.2695,-1944.3970000000002,1997.6196,-1998.7183,1742.2485,-15.7026,15.7725,-14.7266,1.0889,-13.9644,11.2432
128,2,-1652.771,1308.5327,-1816.1621,1998.1079,-1998.7183,1919.9829,-13.6035,5.8774,-10.1074,1.043,-14.4932,8.3555
129,2,-1511.9629,1275.5737,-1834.3506,1998.1079,-349.6704,1907.8369,-12.1177,4.3857,-9.7905,0.9141,-11.7813,8.6963
130,2,-1467.1631,1229.9194,-1971.8628,1998.1079,-301.8188,1826.8433,-12.0991,4.6021,-9.3999,0.8838,-12.7231,8.271
131,2,-1560.3638,1216.7358,-1830.6885,1998.1079,-1998.7183,1899.6582,-13.0239,4.272,-10.1851,0.9492,-12.0122,8.0659
132,2,-1519.9585,1283.5083,-1957.3364,1998.1079,-373.7183,1856.6284,-11.9092,3.8516,-9.4463,0.9141,-12.0234,8.5688
