address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 11:46:21.331,-1.1885,0.6616,0.1606,0.3052,-2.2583,7.0190,87.7039,64.0997,-9.8987,44.27 
0x50, 11:46:21.331,-1.1792,0.6528,0.1587,0.0000,-1.0376,7.4463,87.5720,63.9899,-9.9152,44.27 
0x50, 11:46:21.331,-1.1768,0.6406,0.1558,-0.3662,0.4272,7.2632,87.4731,63.8855,-9.8987,44.26 
0x50, 11:46:21.343,-1.1768,0.6353,0.1533,-0.3662,1.9531,4.7607,87.4017,63.8086,-9.8492,44.27 
0x50, 11:46:21.347,-1.1875,0.6333,0.1563,-0.2441,3.2959,0.8545,87.3523,63.7756,-9.7723,44.27 
0x50, 11:46:21.368,-1.2036,0.6392,0.1514,0.0000,4.2725,-1.7090,87.3303,63.7701,-9.6790,44.26 
0x50, 11:46:21.374,-1.2158,0.6382,0.1450,0.0000,4.6997,-1.5869,87.3248,63.7701,-9.5746,44.28 
0x50, 11:46:21.376,-1.2275,0.6372,0.1421,0.4272,4.6997,-0.1831,87.3193,63.7537,-9.4702,44.28 
0x50, 11:46:21.410,-1.2285,0.6382,0.1353,0.6714,4.5166,1.1597,87.3248,63.7317,-9.3658,44.29 
0x50, 11:46:21.410,-1.2285,0.6401,0.1304,0.9155,4.2725,3.0518,87.3358,63.6823,-9.2670,44.29 
0x50, 11:46:21.410,-1.2188,0.6377,0.1338,1.0376,3.6621,5.5542,87.3358,63.6108,-9.1791,44.27 
0x50, 11:46:21.418,-1.2095,0.6450,0.1304,1.1597,3.4180,6.8359,87.3303,63.5229,-9.0912,44.28 
0x50, 11:46:21.443,-1.1958,0.6533,0.1299,0.9766,3.3569,5.7983,87.3303,63.4406,-9.0143,44.28 
0x50, 11:46:21.446,-1.1943,0.6680,0.1255,0.7324,3.6621,3.2959,87.3303,63.3801,-8.9264,44.29 
0x50, 11:46:21.448,-1.1924,0.6797,0.1152,0.3662,4.0283,1.3428,87.3468,63.3362,-8.8385,44.28 
0x50, 11:46:21.471,-1.2012,0.6885,0.1060,-0.3052,4.5166,1.9531,87.3743,63.2867,-8.7341,44.28 
0x50, 11:46:21.475,-1.2021,0.6968,0.0864,-0.9155,5.0049,4.8218,87.4237,63.2043,-8.6188,44.29 
0x50, 11:46:21.493,-1.1982,0.6958,0.0654,-1.7090,5.6763,8.3618,87.4951,63.0890,-8.4814,44.29 
0x50, 11:46:21.496,-1.1890,0.7036,0.0435,-2.1973,6.6528,10.8643,87.5995,62.9462,-8.3276,44.27 
0x50, 11:46:21.498,-1.1772,0.7095,0.0151,-2.5024,8.0566,11.4136,87.7533,62.7979,-8.1409,44.27 
0x50, 11:46:21.518,-1.1519,0.7104,-0.0249,-2.6855,9.9487,10.8643,87.9675,62.6495,-7.9102,44.27 
0x50, 11:46:21.521,-1.1401,0.7085,-0.0688,-2.9907,12.5122,10.4980,88.2642,62.5012,-7.6300,44.28 
0x50, 11:46:21.544,-1.1294,0.7158,-0.1255,-2.8076,15.5640,9.0332,88.6542,62.3639,-7.2894,44.27 
0x50, 11:46:21.546,-1.1401,0.7324,-0.1943,-2.6855,19.4702,4.4556,89.1595,62.2650,-6.8665,44.27 
0x50, 11:46:21.549,-1.1387,0.7378,-0.2598,-2.5635,23.8037,-1.5869,89.7803,62.2211,-6.3556,44.26 
0x50, 11:46:21.577,-1.1523,0.7598,-0.3359,-2.6855,28.8086,-6.9580,90.5383,62.2101,-5.7404,44.26 
0x50, 11:46:21.621,-1.1812,0.7744,-0.3940,-3.7231,34.4238,-10.8643,91.4117,62.2266,-4.9988,44.26 
0x50, 11:46:21.621,-1.2051,0.8047,-0.4731,-5.6152,40.6494,-13.1836,92.1368,62.3474,-4.1199,44.26 
0x50, 11:46:21.621,-1.2529,0.8423,-0.5522,-9.6436,48.1567,-13.4277,92.9663,62.4683,-3.0707,44.27 
0x50, 11:46:21.621,-1.2783,0.8940,-0.6221,-15.8081,56.5796,-11.1084,93.9056,62.5452,-1.8347,44.28 
0x50, 11:46:21.621,-1.2798,0.9614,-0.6978,-24.3530,66.2842,-6.7139,94.9438,62.5671,-0.3900,44.28 
0x50, 11:46:21.621,-1.2920,1.0264,-0.7363,-36.4380,78.7354,-1.2207,96.0919,62.5122,1.3074,44.28 
0x50, 11:46:21.644,-1.2627,1.0771,-0.7813,-51.1475,92.8955,7.2632,97.3389,62.3419,3.2959,44.27 
