address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 11:46:42.930,-1.1924,0.4800,0.0132,1.9531,4.3335,-6.5918,94.0375,49.2133,155.1050,43.86 
0x50, 11:46:42.932,-1.2075,0.5000,0.0112,2.6245,4.6997,-8.7891,94.0704,49.4824,155.1874,43.87 
0x50, 11:46:42.968,-1.2363,0.5229,0.0010,2.8687,4.7607,-11.4746,94.1199,49.7681,155.2698,43.86 
0x50, 11:46:42.971,-1.2578,0.5308,-0.0107,2.6245,4.4556,-10.9253,94.1803,50.0427,155.3522,43.85 
0x50, 11:46:42.974,-1.2764,0.5430,-0.0103,2.2583,3.4790,-5.2490,94.2188,50.2625,155.4126,43.84 
0x50, 11:46:43.025,-1.2720,0.5264,-0.0195,1.8311,1.8921,2.1973,94.2352,50.4108,155.4401,43.85 
0x50, 11:46:43.025,-1.2588,0.5156,-0.0342,1.5869,0.6104,6.2256,94.2462,50.5261,155.4401,43.85 
0x50, 11:46:43.025,-1.2432,0.5078,-0.0366,1.6479,0.0000,4.6997,94.2572,50.6525,155.4346,43.84 
0x50, 11:46:43.025,-1.2139,0.5015,-0.0522,1.8311,-0.5493,1.0376,94.2847,50.8063,155.4291,43.84 
0x50, 11:46:43.025,-1.2056,0.5020,-0.0664,1.6479,-0.5493,-0.9155,94.3286,50.9821,155.4181,43.84 
0x50, 11:46:43.025,-1.2056,0.5015,-0.0708,1.0376,0.0000,0.0000,94.3781,51.1469,155.4181,43.85 
0x50, 11:46:43.026,-1.1943,0.5024,-0.0928,0.0000,0.3662,3.7842,94.4385,51.2622,155.4181,43.87 
0x50, 11:46:43.044,-1.2100,0.5088,-0.1045,-1.5259,1.6479,7.1411,94.5099,51.3501,155.4401,43.86 
0x50, 11:46:43.046,-1.2217,0.5205,-0.1279,-3.2959,3.1128,6.5918,94.5978,51.4325,155.4785,43.84 
0x50, 11:46:43.068,-1.2422,0.5396,-0.1553,-5.2490,5.0049,4.0283,94.7186,51.5314,155.5554,43.85 
0x50, 11:46:43.071,-1.2520,0.5469,-0.1860,-7.5684,6.5918,3.1128,94.8669,51.6302,155.6543,43.85 
0x50, 11:46:43.074,-1.2656,0.5547,-0.2217,-10.0098,7.9346,2.9297,95.0317,51.7236,155.7806,43.85 
0x50, 11:46:43.094,-1.2852,0.5601,-0.2407,-12.3291,9.7046,0.3662,95.2130,51.8445,155.9344,43.86 
0x50, 11:46:43.096,-1.3062,0.5737,-0.2515,-14.4043,11.2305,-5.2490,95.3998,52.0093,156.1212,43.86 
0x50, 11:46:43.119,-1.3086,0.5952,-0.2920,-16.4185,12.0239,-12.0850,95.6140,52.2290,156.3354,43.85 
0x50, 11:46:43.121,-1.3604,0.6089,-0.3047,-18.8599,13.3667,-17.8223,95.6195,52.3938,156.5826,43.84 
0x50, 11:46:43.124,-1.3457,0.6235,-0.3452,-21.4844,13.4277,-19.8975,95.6030,52.5806,156.8298,43.84 
0x50, 11:46:43.201,-1.3525,0.6479,-0.3994,-24.1699,13.3667,-17.8833,95.5591,52.7454,157.0825,43.85 
0x50, 11:46:43.201,-1.3828,0.6714,-0.4546,-27.2827,14.5264,-14.5874,95.4932,52.8772,157.3407,43.84 
0x50, 11:46:43.201,-1.3828,0.6763,-0.5078,-31.6162,15.6860,-9.4604,95.3943,52.9541,157.6154,43.84 
0x50, 11:46:43.201,-1.3828,0.6929,-0.5430,-37.3535,18.2495,-0.3052,95.2625,52.9376,157.9175,43.84 
0x50, 11:46:43.201,-1.3423,0.7085,-0.5967,-43.8843,22.0947,8.0566,95.1031,52.8387,158.2690,43.84 
0x50, 11:46:43.201,-1.3652,0.7451,-0.6426,-52.1240,29.7852,9.5825,94.9658,52.7179,158.7469,43.85 
0x50, 11:46:43.201,-1.3638,0.7690,-0.6812,-62.8052,39.4897,6.6528,94.8450,52.6190,159.3896,43.84 
0x50, 11:46:43.218,-1.3857,0.8232,-0.7515,-74.8291,51.5747,3.8452,94.7626,52.5366,160.2301,43.83 
0x50, 11:46:43.222,-1.4541,0.8770,-0.8242,-90.2710,67.5659,2.6855,94.7406,52.4542,161.3342,43.84 
0x50, 11:46:43.283,-1.4536,0.9004,-0.8569,-109.4360,85.3271,10.1318,94.7406,52.2784,162.7130,43.85 
