address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 11:46:32.372,-1.1685,0.6240,0.1011,-1.5869,5.3101,-7.0190,74.3555,52.2125,-108.8800,44.08 
0x50, 11:46:32.372,-1.1738,0.6367,0.0986,-1.2207,5.7373,-6.8970,74.4543,52.3828,-108.8251,44.07 
0x50, 11:46:32.436,-1.1719,0.6387,0.0991,-0.8545,5.9814,-6.7749,74.5642,52.5531,-108.7592,44.08 
0x50, 11:46:32.436,-1.1772,0.6431,0.1021,-0.6104,6.2256,-7.6904,74.6741,52.7289,-108.6932,44.08 
0x50, 11:46:32.436,-1.1699,0.6343,0.1045,-0.3052,6.1646,-9.8267,74.7729,52.9211,-108.6383,44.08 
0x50, 11:46:32.436,-1.1797,0.6250,0.1030,0.0000,6.4087,-13.0005,74.8718,53.1519,-108.5889,44.09 
0x50, 11:46:32.436,-1.1865,0.6255,0.1055,0.0000,6.5308,-15.8691,74.9542,53.4045,-108.5559,44.10 
0x50, 11:46:32.444,-1.1895,0.6367,0.1099,0.0000,6.3477,-16.2354,75.0311,53.6572,-108.5229,44.09 
0x50, 11:46:32.449,-1.2012,0.6484,0.1113,-0.3662,6.1035,-12.7563,75.1135,53.8715,-108.4790,44.09 
0x50, 11:46:32.451,-1.2119,0.6484,0.1162,-1.1597,5.6152,-7.2021,75.2014,54.0308,-108.4186,44.08 
0x50, 11:46:32.469,-1.2051,0.6372,0.1211,-2.0752,5.0049,-1.4038,75.2838,54.1351,-108.3417,44.08 
0x50, 11:46:32.471,-1.1865,0.6182,0.1211,-3.0518,4.3335,2.8076,75.3552,54.2010,-108.2593,44.08 
0x50, 11:46:32.494,-1.1885,0.6040,0.1064,-3.7842,4.0283,3.2959,75.4266,54.2615,-108.1769,44.09 
0x50, 11:46:32.496,-1.1895,0.5903,0.0947,-4.2725,3.7231,0.0000,75.4926,54.3658,-108.1165,44.08 
0x50, 11:46:32.500,-1.1938,0.5923,0.0850,-4.4556,3.6011,-4.0283,75.5420,54.5032,-108.0725,44.09 
0x50, 11:46:32.519,-1.2085,0.6084,0.0786,-4.5776,3.5400,-6.4697,75.5969,54.6570,-108.0450,44.11 
0x50, 11:46:32.521,-1.2144,0.6270,0.0640,-4.6387,3.7231,-6.6528,75.6628,54.8108,-108.0066,44.09 
0x50, 11:46:32.546,-1.2256,0.6411,0.0562,-4.6997,4.2725,-4.4556,75.7507,54.9371,-107.9572,44.08 
0x50, 11:46:32.549,-1.2139,0.6421,0.0215,-4.6387,4.8828,-1.5869,75.8881,55.0360,-107.8802,44.08 
0x50, 11:46:32.551,-1.2251,0.6479,-0.0122,-4.6997,6.7749,0.0000,76.0858,55.1239,-107.7649,44.09 
0x50, 11:46:32.613,-1.2046,0.6499,-0.0488,-4.6997,9.4604,0.0000,76.3550,55.2118,-107.6056,44.10 
0x50, 11:46:32.613,-1.1943,0.6548,-0.0977,-4.8218,13.4277,0.0000,76.7120,55.2997,-107.3749,44.10 
0x50, 11:46:32.626,-1.1616,0.6782,-0.1533,-5.4932,18.6157,-1.9531,77.1735,55.3986,-107.0673,44.11 
0x50, 11:46:32.628,-1.1533,0.7036,-0.2285,-6.7139,25.5737,-5.0049,77.7557,55.5249,-106.6443,44.11 
0x50, 11:46:32.630,-1.1626,0.7144,-0.3149,-9.3994,34.0576,-6.3477,78.4808,55.6622,-106.0840,44.09 
0x50, 11:46:32.640,-1.1890,0.7573,-0.4521,-13.3667,43.6401,-6.5308,79.3762,55.7886,-105.3479,44.09 
0x50, 11:46:32.641,-1.2754,0.8057,-0.5747,-20.0806,56.2744,-8.7280,79.9640,55.9808,-104.3921,44.10 
0x50, 11:46:32.643,-1.3408,0.8594,-0.6426,-29.4189,69.8242,-12.1460,80.6561,56.2225,-103.2001,44.09 
0x50, 11:46:32.644,-1.3853,0.9263,-0.7363,-40.5273,84.6558,-12.7563,81.4691,56.4862,-101.7334,44.08 
0x50, 11:46:32.668,-1.4136,0.9629,-0.7949,-55.2368,101.9287,-8.6060,82.4194,56.7224,-99.9316,44.08 
0x50, 11:46:32.671,-1.3643,1.0049,-0.8457,-72.8760,120.7886,0.7324,83.5181,56.8707,-97.7509,44.08 
0x50, 11:46:32.694,-1.2808,1.0303,-0.8560,-92.7124,142.2729,14.6484,84.7815,56.8872,-95.1306,44.08 
0x50, 11:46:32.694,-1.1772,1.0562,-0.8418,-113.5864,166.6870,28.3813,86.2317,56.7554,-92.0435,44.10 
