address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 11:47:55.106,-1.2441,0.5732,0.0825,6.1646,1.3428,4.0283,23.6426,-3.1366,112.9504,43.02 
0x50, 11:47:55.106,-1.2461,0.5679,0.0830,6.2866,1.2207,2.7466,24.2853,-2.4500,112.9834,43.02 
0x50, 11:47:55.119,-1.2485,0.5752,0.0786,6.7139,1.2207,2.1973,24.9280,-1.7743,113.0054,43.00 
0x50, 11:47:55.126,-1.2520,0.5806,0.0776,7.3242,1.2207,1.5259,25.5762,-1.0986,113.0273,43.00 
0x50, 11:47:55.126,-1.2500,0.5835,0.0737,7.7515,1.0376,2.0142,26.2244,-0.4395,113.0493,43.01 
0x50, 11:47:55.144,-1.2559,0.5859,0.0786,7.9346,1.0376,4.2114,26.8616,0.1978,113.0933,43.01 
0x50, 11:47:55.147,-1.2471,0.5796,0.0796,7.9956,0.9155,6.9580,27.4933,0.8185,113.1592,43.01 
0x50, 11:47:55.169,-1.2471,0.5786,0.0864,8.0566,1.0376,7.9956,28.1140,1.4337,113.2306,43.02 
0x50, 11:47:55.226,-1.2441,0.5864,0.0903,7.9956,1.4648,5.6763,28.7292,2.0490,113.2910,43.01 
0x50, 11:47:55.226,-1.2290,0.5908,0.0918,7.7515,1.9531,1.2207,29.3280,2.6807,113.3075,43.00 
0x50, 11:47:55.226,-1.2197,0.5942,0.1001,7.3242,2.6855,-2.4414,29.9103,3.3289,113.3020,43.01 
0x50, 11:47:55.226,-1.2202,0.5942,0.1040,6.7139,3.4790,-4.5166,30.4816,3.9825,113.2800,43.01 
0x50, 11:47:55.226,-1.2212,0.5913,0.1128,6.0425,4.3335,-5.5542,31.0254,4.6472,113.2526,43.00 
0x50, 11:47:55.226,-1.2305,0.5933,0.1143,5.3101,5.0659,-5.2490,31.5582,5.3064,113.2361,43.01 
0x50, 11:47:55.244,-1.2373,0.5815,0.1128,4.2725,5.7373,-2.4414,32.0746,5.9601,113.2416,43.01 
0x50, 11:47:55.244,-1.2437,0.5703,0.1138,3.2349,6.2256,2.3804,32.5800,6.5918,113.2965,43.01 
0x50, 11:47:55.269,-1.2417,0.5605,0.1074,2.3804,6.5308,6.1646,33.0743,7.2015,113.3844,43.02 
0x50, 11:47:55.269,-1.2383,0.5532,0.1064,1.7090,6.9580,5.8594,33.5632,7.8113,113.4723,43.02 
0x50, 11:47:55.331,-1.2417,0.5625,0.1016,1.4038,7.3853,1.9531,34.0466,8.4320,113.5327,43.02 
0x50, 11:47:55.331,-1.2495,0.5723,0.1030,1.2817,7.3242,-2.5024,34.5245,9.0747,113.5492,43.00 
0x50, 11:47:55.331,-1.2666,0.5776,0.1016,1.2817,6.9580,-4.9438,34.9915,9.7229,113.5492,43.00 
0x50, 11:47:55.331,-1.2798,0.5854,0.1021,1.4648,5.9814,-5.1880,35.4529,10.3546,113.5437,43.01 
0x50, 11:47:55.331,-1.2959,0.5977,0.0991,1.9531,4.6997,-4.3945,35.9253,10.9589,113.5327,43.02 
0x50, 11:47:55.331,-1.3008,0.5942,0.0972,2.6245,2.8687,-2.5635,36.3977,11.5411,113.5272,43.02 
0x50, 11:47:55.334,-1.3120,0.5947,0.0854,3.2959,0.9766,1.2817,36.8866,12.0795,113.5437,43.01 
0x50, 11:47:55.344,-1.3032,0.5879,0.0752,4.0283,-1.0986,6.8359,37.3920,12.5684,113.5931,43.02 
0x50, 11:47:55.347,-1.2832,0.5874,0.0654,5.0659,-3.0518,11.7188,37.9248,12.9968,113.6700,43.01 
0x50, 11:47:55.369,-1.2646,0.5840,0.0562,5.9814,-4.3335,14.5874,38.4686,13.3978,113.7634,43.02 
0x50, 11:47:55.371,-1.2310,0.5806,0.0532,6.5918,-5.1270,15.5640,39.0179,13.7769,113.8568,43.02 
0x50, 11:47:55.394,-1.2061,0.5864,0.0474,7.2632,-5.3711,13.9160,39.5728,14.1504,113.9282,43.02 
0x50, 11:47:55.396,-1.1885,0.5947,0.0488,7.6294,-4.9438,8.0566,40.1111,14.5514,113.9612,43.01 
0x50, 11:47:55.399,-1.1782,0.6152,0.0288,7.8735,-4.0283,-0.7935,40.6549,15.0073,113.9282,43.02 
0x50, 11:47:55.419,-1.1860,0.6343,0.0088,7.7515,-2.8076,-8.0566,41.1932,15.5072,113.8458,43.02 
0x50, 11:47:55.421,-1.2051,0.6479,-0.0024,6.9580,-1.5869,-9.5215,41.7316,16.0181,113.7634,43.02 
0x50, 11:47:55.427,-1.2007,0.6558,-0.0200,5.7373,-1.1597,-4.6387,42.2754,16.4905,113.7195,43.03 
0x50, 11:47:55.444,-1.2148,0.6558,-0.0405,4.0283,-0.6104,2.1362,42.8302,16.9244,113.7305,43.02 
0x50, 11:47:55.448,-1.2378,0.6743,-0.0684,2.4414,0.2441,5.0049,43.3960,17.3364,113.7689,43.01 
0x50, 11:47:55.482,-1.2388,0.6787,-0.0967,0.4883,0.9155,3.7231,43.9618,17.7539,113.8074,43.02 
0x50, 11:47:55.485,-1.2251,0.6807,-0.1006,-2.0142,1.5259,2.1973,44.4946,18.1824,113.8348,43.03 
0x50, 11:47:55.486,-1.2007,0.7017,-0.1255,-4.2114,2.2583,0.0000,45.0110,18.6108,113.8513,43.03 
0x50, 11:47:55.489,-1.1816,0.7173,-0.1538,-6.4697,3.2959,-5.4321,45.5164,19.0668,113.8348,43.04 
0x50, 11:47:55.566,-1.1655,0.7383,-0.1968,-8.7280,4.8828,-12.5122,46.0052,19.5667,113.7799,43.03 
0x50, 11:47:55.566,-1.1807,0.7632,-0.2383,-11.2915,6.9580,-15.5029,46.4832,20.0885,113.7140,43.02 
0x50, 11:47:55.566,-1.1968,0.7974,-0.2813,-14.4043,9.2773,-11.2305,46.9666,20.5774,113.7085,43.02 
0x50, 11:47:55.566,-1.2036,0.8022,-0.3271,-18.6768,12.0850,-1.4038,47.4664,21.0059,113.7909,43.01 
0x50, 11:47:55.566,-1.2080,0.8203,-0.3784,-23.1323,15.9912,7.3242,47.2961,21.0608,113.9667,43.02 
0x50, 11:47:55.566,-1.2041,0.8345,-0.4463,-28.0762,21.8506,8.6060,47.1039,21.1432,114.2029,43.02 
0x50, 11:47:55.571,-1.1831,0.8271,-0.4976,-33.8745,29.7241,3.7842,46.8567,21.3190,114.4666,43.02 
0x50, 11:47:55.571,-1.1670,0.8140,-0.5400,-39.9170,39.6729,-2.2583,46.5656,21.6046,114.7577,43.02 
0x50, 11:47:55.594,-1.1338,0.7876,-0.5972,-46.6309,51.8188,-8.1787,46.2250,22.0221,115.1038,43.02 
0x50, 11:47:55.596,-1.1094,0.8101,-0.6504,-55.1147,67.2607,-11.9629,45.8350,22.5714,115.5377,43.03 
0x50, 11:47:55.619,-1.1133,0.8408,-0.6606,-66.0400,85.9985,-10.1929,45.4010,23.2471,116.1310,43.03 
0x50, 11:47:55.621,-1.1074,0.8936,-0.6880,-78.3081,106.9946,-1.4648,44.9451,24.0106,116.9495,43.03 
0x50, 11:47:55.624,-1.1079,0.9248,-0.6992,-93.8721,131.7749,10.9253,44.4562,24.8621,118.0536,43.02 
0x50, 11:47:55.628,-1.0879,0.9297,-0.6978,-111.4502,159.7290,21.1792,43.9288,25.8563,119.4489,43.01 
0x50, 11:47:55.651,-1.0327,0.9063,-0.6831,-129.7607,190.1245,25.4517,43.3575,27.0483,121.1188,43.01 
0x50, 11:47:55.653,-0.9663,0.8643,-0.6235,-148.6206,223.9380,23.9258,42.7478,28.5095,123.0414,43.02 
0x50, 11:47:55.668,-0.8784,0.8281,-0.5547,-166.9312,259.1553,19.8364,42.1106,30.2783,125.2112,43.02 
0x50, 11:47:55.689,-0.8130,0.8164,-0.4878,-184.2041,295.8984,14.8315,41.4954,32.3767,127.6337,43.02 
0x50, 11:47:55.691,-0.7676,0.7969,-0.3652,-200.8667,334.2285,8.8501,40.9296,34.8212,130.3363,43.02 
0x50, 11:47:55.694,-0.6987,0.7915,-0.2373,-216.1255,371.5820,3.1128,40.4791,37.6062,133.3301,43.02 
0x50, 11:47:55.698,-0.6787,0.7866,-0.0996,-230.6519,408.4473,-1.7700,40.2045,40.7263,136.6589,43.02 
0x50, 11:47:55.719,-0.7417,0.8062,0.0879,-244.1406,444.7021,-6.2866,40.1935,44.1595,140.3833,43.02 
0x50, 11:47:55.721,-0.7925,0.8203,0.2529,-256.0425,477.2339,-7.6904,40.5670,47.8564,144.5966,43.02 
0x50, 11:47:55.744,-0.8745,0.8403,0.4209,-266.5405,506.7139,-0.7935,41.5393,51.7126,149.5020,43.03 
0x50, 11:47:55.746,-0.9468,0.8364,0.6636,-275.2686,532.2266,17.4561,43.4235,55.5798,155.4071,43.03 
0x50, 11:47:55.805,-0.9800,0.8779,0.9307,-279.6021,552.6123,45.5933,46.6534,59.2767,162.7130,43.02 
0x50, 11:47:55.805,-1.0547,0.9224,1.2368,-279.1138,570.0684,74.8901,51.7072,62.6495,171.8372,43.03 
0x50, 11:47:55.805,-1.0576,0.8740,1.5503,-273.6816,584.1675,101.6846,59.0515,65.4675,-176.8085,43.03 
0x50, 11:47:55.805,-1.0498,0.7969,1.8667,-261.8408,593.9941,132.0190,69.0820,67.3901,-162.8998,43.02 
0x50, 11:47:55.805,-1.0474,0.6084,2.2700,-243.7134,599.8535,168.2739,81.5460,67.9614,-146.7609,43.03 
0x50, 11:47:55.805,-0.9990,0.3794,2.7373,-216.1255,601.5625,207.0313,94.8395,66.7969,-130.0891,43.02 
0x50, 11:47:55.819,-0.9468,0.1714,3.2705,-177.5513,597.7783,243.5303,106.4795,63.8635,-115.4938,43.02 
0x50, 11:47:55.822,-0.8037,-0.1689,3.8789,-131.2866,587.3413,281.1279,115.0214,59.5020,-104.5129,43.03 
0x50, 11:47:55.844,-0.6221,-0.5054,4.4189,-71.7163,567.3828,324.9512,120.7013,54.1571,-97.0917,43.02 
0x50, 11:47:55.847,-0.3413,-0.9302,4.8062,-1.0376,533.8745,365.0513,124.4641,48.2959,-92.4335,43.02 
0x50, 11:47:55.849,-0.2598,-1.3130,5.1377,81.9702,485.2905,377.7466,127.3755,42.4347,-89.6375,43.02 
0x50, 11:47:55.869,-0.3906,-1.6763,5.3608,174.8657,413.2690,344.4214,130.2155,37.1887,-88.0170,43.02 
0x50, 11:47:55.875,-0.8428,-2.0669,5.4888,272.0947,318.0542,288.7573,-20.6323,32.9315,-87.3083,43.01 
0x50, 11:47:55.893,-1.4219,-2.4897,5.3774,373.6572,193.7866,256.9580,-15.7819,35.6506,-85.2594,43.02 
0x50, 11:47:55.894,-1.9604,-2.9551,4.8452,477.9663,38.5132,249.0845,-9.3549,36.6943,-82.4359,43.01 
0x50, 11:47:55.897,-2.5996,-3.3296,3.8970,581.9702,-141.1133,230.7129,-1.6699,35.6781,-79.3158,43.02 
0x50, 11:47:55.978,-3.2026,-3.6270,2.6279,674.8657,-336.2427,203.7964,6.6083,32.3767,-76.6846,43.02 
0x50, 11:47:55.978,-3.6484,-3.7964,1.0356,759.3384,-539.3066,195.8008,15.0403,26.7957,-75.1190,43.03 
0x50, 11:47:55.978,-3.9077,-3.9521,-0.6538,809.2651,-733.1543,195.7397,23.1262,19.2096,-75.1300,43.03 
