address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 11:38:36.328,-1.1938,0.4131,-0.0313,-6.8970,14.1602,11.1694,104.5129,63.7976,179.9945,41.87 
0x50, 11:38:36.350,-1.1846,0.4106,-0.0313,-6.0425,13.8550,9.8877,104.5734,63.7427,179.9945,41.87 
0x50, 11:38:36.408,-1.1709,0.4165,-0.0210,-5.1880,13.6108,7.0190,104.6338,63.7042,179.9945,41.86 
0x50, 11:38:36.408,-1.1587,0.4233,-0.0132,-4.4556,13.4888,4.6997,104.6997,63.6877,179.9945,41.87 
0x50, 11:38:36.408,-1.1558,0.4307,-0.0005,-4.0283,13.3057,3.7842,104.7491,63.6823,179.9945,41.87 
0x50, 11:38:36.408,-1.1611,0.4414,0.0010,-3.8452,13.0615,3.6621,104.7986,63.6658,179.9945,41.87 
0x50, 11:38:36.412,-1.1621,0.4448,0.0010,-3.7231,12.6953,4.0283,104.8370,63.6493,179.9945,41.87 
0x50, 11:38:36.415,-1.1694,0.4551,-0.0039,-3.7231,12.2681,4.8218,104.8700,63.6218,179.9945,41.87 
0x50, 11:38:36.417,-1.1675,0.4639,-0.0024,-3.8452,11.4746,6.0425,104.8755,63.5834,179.9945,41.87 
0x50, 11:38:36.420,-1.1655,0.4741,-0.0137,-3.9673,10.9253,7.2021,104.8755,63.5284,179.9945,41.86 
0x50, 11:38:36.450,-1.1641,0.4878,-0.0112,-4.2114,10.4980,7.3242,104.8645,63.4735,179.9945,41.85 
0x50, 11:38:36.452,-1.1455,0.4985,-0.0112,-4.4556,10.2539,6.8359,104.8480,63.4131,179.9945,41.88 
0x50, 11:38:36.455,-1.1372,0.4956,-0.0229,-4.6997,10.3149,6.3477,104.8425,63.3527,179.9945,41.87 
0x50, 11:38:36.458,-1.1406,0.4946,-0.0479,-5.0049,11.1084,5.4321,104.8865,63.3032,179.9945,41.87 
0x50, 11:38:36.475,-1.1484,0.5059,-0.0864,-5.1880,12.3291,3.8452,104.9963,63.2648,179.9945,41.86 
0x50, 11:38:36.478,-1.1431,0.5068,-0.1216,-5.6152,13.7939,3.9063,105.1666,63.2153,179.9945,41.86 
0x50, 11:38:36.499,-1.1445,0.5068,-0.1616,-6.0425,15.5029,6.7139,105.3918,63.1274,179.9945,41.86 
0x50, 11:38:36.502,-1.1587,0.5020,-0.1943,-6.6528,17.8223,9.3384,105.6720,63.0121,179.9945,41.87 
0x50, 11:38:36.524,-1.1431,0.4902,-0.2246,-7.2632,20.5688,9.3384,106.0236,62.8857,179.9945,41.88 
0x50, 11:38:36.527,-1.1226,0.4658,-0.2598,-7.7515,23.5596,6.5308,106.4795,62.7759,179.9945,41.88 
0x50, 11:38:36.579,-1.1030,0.4624,-0.3091,-8.1787,27.5269,1.0376,107.0782,62.6935,179.9945,41.89 
0x50, 11:38:36.579,-1.0869,0.4712,-0.3594,-9.2163,32.3486,-5.9204,107.8143,62.6440,179.9945,41.89 
0x50, 11:38:36.579,-1.0649,0.4824,-0.4014,-11.0474,38.0859,-11.2915,108.6823,62.6001,179.9945,41.88 
0x50, 11:38:36.579,-1.0400,0.5029,-0.4351,-13.9771,44.7388,-14.6484,109.6655,62.5452,179.9945,41.88 
0x50, 11:38:36.579,-1.0317,0.5283,-0.4775,-17.9443,52.4292,-18.3105,110.7697,62.4683,179.9945,41.88 
0x50, 11:38:36.579,-1.0322,0.5566,-0.5308,-23.4375,61.2183,-23.8037,112.0166,62.3859,179.9945,41.88 
0x50, 11:38:36.600,-1.0581,0.5854,-0.5991,-30.2124,70.9839,-29.2969,113.4064,62.2815,179.9945,41.86 
0x50, 11:38:36.602,-1.0776,0.6094,-0.6606,-38.8184,81.2378,-31.6162,114.9005,62.1277,179.9945,41.86 
0x50, 11:38:36.608,-1.0767,0.6504,-0.7183,-48.8892,91.9800,-28.8696,116.4386,61.8640,179.9945,41.86 
0x50, 11:38:36.625,-1.0776,0.6870,-0.7471,-61.0352,104.4922,-22.3389,117.9602,61.4520,179.9945,41.87 
0x50, 11:38:36.628,-1.0234,0.7021,-0.7690,-75.0122,117.6758,-15.1978,119.4324,60.8698,179.9945,41.87 
0x50, 11:38:36.652,-0.9795,0.7041,-0.7705,-90.3320,133.4839,-9.8267,120.8716,60.1282,179.9945,41.87 
0x50, 11:38:36.653,-0.9185,0.6855,-0.7407,-107.3608,151.5503,-7.8125,122.2833,59.2438,179.9945,41.87 
0x50, 11:38:36.674,-0.8481,0.6807,-0.7334,-124.4507,171.1426,-10.3760,123.7006,58.2385,179.9945,41.87 
0x50, 11:38:36.677,-0.8027,0.6548,-0.7144,-142.8223,192.9932,-16.6016,125.1398,57.1289,179.9945,41.87 
0x50, 11:38:36.679,-0.7437,0.6406,-0.6738,-161.5601,215.3320,-22.5220,126.5460,55.8984,179.9945,41.87 
0x50, 11:38:36.699,-0.7207,0.6460,-0.6563,-179.8706,237.8540,-25.1465,127.8699,54.5142,179.9945,41.87 
0x50, 11:38:36.705,-0.6953,0.6699,-0.6172,-198.5474,260.6812,-24.5972,129.0179,52.9541,179.9945,41.88 
0x50, 11:38:36.724,-0.6724,0.6929,-0.5259,-217.2852,283.1421,-22.2168,129.9188,51.2073,179.9945,41.88 
0x50, 11:38:36.724,-0.6699,0.7290,-0.4141,-235.3516,305.3589,-19.3481,130.5231,49.2902,179.9945,41.89 
0x50, 11:38:36.811,-0.6787,0.7402,-0.2764,-253.1738,327.3315,-17.5171,130.8087,47.2302,179.9945,41.87 
0x50, 11:38:36.811,-0.7104,0.7451,-0.1411,-269.9585,348.1445,-18.0664,130.7813,45.0714,179.9945,41.88 
0x50, 11:38:36.811,-0.7759,0.7373,-0.0020,-285.6445,367.7368,-20.2026,130.4407,42.8577,179.9945,41.89 
0x50, 11:38:36.811,-0.8091,0.7241,0.1670,-300.2930,385.2539,-19.0430,129.7430,40.5725,179.9945,41.87 
0x50, 11:38:36.811,-0.8765,0.6865,0.3271,-311.8896,400.8179,-10.8643,128.6719,38.2050,179.9945,41.87 
0x50, 11:38:36.811,-0.9126,0.6523,0.5269,-321.5942,415.2222,2.0752,127.2327,35.7111,179.9945,41.88 
0x50, 11:38:36.811,-0.9209,0.7036,0.7153,-326.6602,427.4902,18.7988,125.5133,33.0688,179.9945,41.88 
0x50, 11:38:36.811,-1.0000,0.7036,0.9165,-329.8950,439.3921,41.3818,124.3872,30.1794,179.9945,41.86 
0x50, 11:38:36.811,-1.0137,0.6802,1.1470,-329.4067,449.8291,70.7397,123.0194,27.0538,179.9945,41.86 
0x50, 11:38:36.824,-1.0601,0.6904,1.3613,-324.6460,459.8999,102.9663,121.4539,23.6865,179.9945,41.85 
0x50, 11:38:36.827,-1.1089,0.6631,1.6069,-316.3452,469.1162,132.0801,119.7455,20.1105,179.9945,41.85 
0x50, 11:38:36.850,-1.1670,0.6567,1.8877,-304.1992,477.3560,156.3721,117.9327,16.3861,179.9945,41.87 
0x50, 11:38:36.852,-1.2402,0.6436,2.1968,-288.9404,483.5205,179.9927,116.0541,12.5299,179.9945,41.88 
0x50, 11:38:36.874,-1.3130,0.6060,2.5181,-268.9209,486.6333,209.1064,114.1315,8.5144,179.9945,41.88 
0x50, 11:38:36.876,-1.3872,0.4951,2.8452,-244.0796,486.6943,249.3896,112.2034,4.2462,179.9945,41.87 
0x50, 11:38:36.879,-1.4429,0.2896,3.2324,-212.7075,483.3374,300.6592,110.3247,-0.3571,179.9945,41.87 
0x50, 11:38:36.900,-1.4512,0.0513,3.6826,-171.5698,475.6470,356.2012,108.5889,-5.3503,179.9945,41.88 
0x50, 11:38:36.902,-1.4609,-0.3213,4.1909,-120.3613,461.3647,408.2031,107.1002,-10.6897,179.9945,41.86 
0x50, 11:38:36.925,-1.5059,-0.8281,4.8091,-57.8613,439.2090,451.0498,105.9796,-16.2927,179.9945,41.86 
0x50, 11:38:36.927,-1.5410,-1.4072,5.6021,16.0522,404.2969,480.8960,105.3864,-22.0276,179.9945,41.87 
0x50, 11:38:36.974,-1.5386,-2.0293,6.5049,100.6470,352.5391,495.3003,105.5511,-27.7405,179.9945,41.87 
0x50, 11:38:36.974,-1.5986,-2.7935,7.3965,196.6553,281.4331,492.9199,106.7871,-33.2446,179.9945,41.87 
0x50, 11:38:36.974,-1.7153,-3.7998,7.9517,304.8096,186.0962,470.7031,109.5612,-38.2874,179.9945,41.87 
0x50, 11:38:36.974,-1.9995,-5.0054,7.9829,426.9409,63.8428,427.3071,114.4830,-42.5281,179.9945,41.86 
0x50, 11:38:36.978,-2.5796,-6.4619,7.4160,561.5234,-89.3555,366.0889,-41.0669,-45.4889,179.9945,41.87 
0x50, 11:38:36.978,-3.6909,-7.8535,5.9238,713.1348,-275.6958,289.9780,-38.0017,-45.6592,179.9945,41.88 
0x50, 11:38:37.002,-5.2905,-8.9507,3.4790,877.5635,-496.0938,206.2378,-34.0137,-48.3014,179.9945,41.87 
0x50, 11:38:37.002,-7.2993,-9.5601,0.4009,1046.4478,-745.7886,142.5171,-29.5587,-53.6847,179.9945,41.89 
0x50, 11:38:37.024,-9.4468,-9.4902,-2.7856,1199.2798,-1020.3857,137.6343,-26.0431,-61.8805,179.9945,41.88 
0x50, 11:38:37.024,-11.1294,-8.7148,-5.5166,1302.6123,-1326.6602,214.1724,-27.5208,-72.8613,179.9945,41.88 
0x50, 11:38:37.049,-12.0742,-7.1094,-7.2930,1316.3452,-1661.0718,379.3335,-50.1636,-85.8362,179.9945,41.89 
