address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 11:39:29.377,-1.0903,0.6069,0.0933,-0.7324,1.2207,-4.0283,92.8345,62.5067,179.9945,41.65 
0x50, 11:39:29.400,-1.0776,0.6060,0.0986,0.4883,0.4272,-3.9673,92.7301,62.5232,179.9945,41.64 
0x50, 11:39:29.451,-1.0640,0.5967,0.0928,1.7700,-0.3052,-3.3569,92.6257,62.5342,179.9945,41.63 
0x50, 11:39:29.451,-1.0703,0.5830,0.0840,2.9907,-0.4272,-2.8076,92.5433,62.5507,179.9945,41.64 
0x50, 11:39:29.451,-1.0732,0.5596,0.0737,4.2725,-0.6104,-3.1128,92.4774,62.5781,179.9945,41.64 
0x50, 11:39:29.451,-1.0786,0.5303,0.0474,5.6763,-0.5493,-3.9673,92.4500,62.6276,179.9945,41.64 
0x50, 11:39:29.451,-1.0894,0.5024,0.0186,7.0801,-0.3052,-4.7607,92.4719,62.6990,179.9945,41.64 
0x50, 11:39:29.452,-1.0957,0.4790,-0.0049,8.3008,0.0000,-5.1880,92.5378,62.7869,179.9945,41.64 
0x50, 11:39:29.456,-1.0947,0.4697,-0.0190,9.3384,0.6104,-4.7607,92.6477,62.8748,179.9945,41.64 
0x50, 11:39:29.475,-1.0874,0.4731,-0.0308,10.0098,1.5259,-3.4790,92.7905,62.9462,179.9945,41.63 
0x50, 11:39:29.500,-1.0884,0.4824,-0.0435,10.0098,2.6245,-1.8921,92.9608,62.9956,179.9945,41.63 
0x50, 11:39:29.500,-1.0977,0.4912,-0.0435,9.2773,4.2114,-0.9155,93.1586,63.0286,179.9945,41.63 
0x50, 11:39:29.505,-1.0923,0.5059,-0.0425,8.0566,6.0425,-0.9766,93.3728,63.0560,179.9945,41.62 
0x50, 11:39:29.527,-1.0840,0.5127,-0.0381,6.1646,7.9956,-1.7090,93.5980,63.0835,179.9945,41.63 
0x50, 11:39:29.529,-1.0801,0.5215,-0.0298,3.8452,10.1318,-3.2959,93.8342,63.1219,179.9945,41.64 
0x50, 11:39:29.529,-1.0894,0.5342,-0.0244,1.4038,12.1460,-6.3477,94.0814,63.1824,179.9945,41.64 
